,filename,total_row_number,all_row_mismatch,race_mismatch,age_mismatch,sex_mismatch
0,swap_0.01.csv,1428,14,11,12,6
1,swap_0.060000000000000005.csv,1428,95,78,86,40
2,swap_0.11.csv,1428,205,163,189,116
3,swap_0.16000000000000003.csv,1428,321,238,297,169
4,swap_0.21000000000000002.csv,1428,466,315,426,231
5,swap_0.26.csv,1428,643,382,597,317
6,swap_0.31000000000000005.csv,1428,834,468,790,399
7,swap_0.36000000000000004.csv,1428,1017,557,942,470
8,swap_0.41000000000000003.csv,1428,1143,600,1075,541
9,swap_0.46.csv,1428,1246,650,1188,604
10,swap_0.51.csv,1428,1310,679,1237,645
11,swap_0.56.csv,1428,1353,702,1288,678
12,swap_0.6100000000000001.csv,1428,1382,720,1312,717
13,swap_0.66.csv,1428,1397,748,1333,737
14,swap_0.7100000000000001.csv,1428,1402,755,1340,747
15,swap_0.76.csv,1428,1406,746,1347,747
16,swap_0.81.csv,1428,1411,772,1351,710
17,swap_0.8600000000000001.csv,1428,1410,794,1352,721
18,swap_0.91.csv,1428,1413,791,1364,696
19,swap_0.9600000000000001.csv,1428,1421,818,1380,718
